Assay_Accessibility	Assay_H3K27ac	Audit ERROR_Accessibility	Audit ERROR_H3K27ac	Audit INTERNAL_ACTION_Accessibility	Audit INTERNAL_ACTION_H3K27ac	Audit NOT_COMPLIANT_Accessibility	Audit NOT_COMPLIANT_H3K27ac	Audit WARNING_Accessibility	Audit WARNING_H3K27ac	Biological replicate(s)_Accessibility	Biological replicate(s)_H3K27ac	Biosample genetic modifications categories	Biosample genetic modifications gene targets	Biosample genetic modifications methods	Biosample genetic modifications site coordinates_Accessibility	Biosample genetic modifications site coordinates_H3K27ac	Biosample genetic modifications targets	Biosample genetic modifications zygosity_Accessibility	Biosample genetic modifications zygosity_H3K27ac	Biosample organism	Biosample term id_Accessibility	Biosample term id_H3K27ac	Biosample term name	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample type_Accessibility	Biosample type_H3K27ac	Controlled by_Accessibility	Controlled by_H3K27ac	Derived from_Accessibility	Derived from_H3K27ac	Experiment accession_Accessibility	Experiment accession_H3K27ac	Experiment date released_Accessibility	Experiment date released_H3K27ac	Experiment target_Accessibility	Experiment target_H3K27ac	File Status_Accessibility	File Status_H3K27ac	File accession_Accessibility	File accession_H3K27ac	File assembly	File download URL_Accessibility	File download URL_H3K27ac	File format	File format type_Accessibility	File format type_H3K27ac	File type	Genome annotation	Lab_Accessibility	Lab_H3K27ac	Library crosslinking method_Accessibility	Library crosslinking method_H3K27ac	Library depleted in_Accessibility	Library depleted in_H3K27ac	Library extraction method_Accessibility	Library extraction method_H3K27ac	Library fragmentation method_Accessibility	Library fragmentation method_H3K27ac	Library lysis method_Accessibility	Library lysis method_H3K27ac	Library made from_Accessibility	Library made from_H3K27ac	Library size range_Accessibility	Library size range_H3K27ac	Library strand specific_Accessibility	Library strand specific_H3K27ac	Mapped read length_Accessibility	Mapped read length_H3K27ac	Output type	Paired end_Accessibility	Paired end_H3K27ac	Paired with_Accessibility	Paired with_H3K27ac	Platform_Accessibility	Platform_H3K27ac	Project_Accessibility	Project_H3K27ac	RBNS protein concentration_Accessibility	RBNS protein concentration_H3K27ac	Read length_Accessibility	Read length_H3K27ac	Run type_Accessibility	Run type_H3K27ac	Size_Accessibility	Size_H3K27ac	Technical replicate(s)_Accessibility	Technical replicate(s)_H3K27ac	dbxrefs_Accessibility	dbxrefs_H3K27ac	md5sum_Accessibility	md5sum_H3K27ac	s3_uri_Accessibility	s3_uri_H3K27ac	File accession_H3K27ac bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	0.0	0.0	insufficient read length	0.0	low spot score, mixed read lengths	mild to moderate bottlenecking	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000182	CL:0000182	hepatocyte	0.0	0.0	0.0	primary cell	in vitro differentiated cells	0.0	0.0	ENCFF000SQQ, ENCFF549HLL	ENCFF778YPM, ENCFF807MUK	ENCSR000EJU	ENCSR507UDH	2011-04-19	2016-05-20	0.0	H3K27ac-human	released	released	ENCFF338XIK	ENCFF494JNN	hg19	https://www.encodeproject.org/files/ENCFF338XIK/@@download/ENCFF338XIK.bam	https://www.encodeproject.org/files/ENCFF494JNN/@@download/ENCFF494JNN.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2075612427	2699163088	1_2	2_1	0.0	0.0	66f43997a031054ad275a6ebdae27789	da9610f882ec7d3b1bb50e43a9c4328c	s3://encode-public/2017/10/03/08e6c710-aaf5-4813-a1db-eb7cd5eb8728/ENCFF338XIK.bam	s3://encode-public/2016/10/12/3090d1ec-3984-4aae-8dd7-38691bdaf19a/ENCFF494JNN.bam	ENCFF494JNN
DNase-seq DNase-seq	ChIP-seq ChIP-seq	file validation error	0.0	mismatched file status	0.0	0.0	0.0	low spot score	mild to moderate bottlenecking	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000182	CL:0000182	hepatocyte	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	0.0	0.0	ENCFF013EWP, ENCFF326QAT, ENCFF549HLL, ENCFF717SDM, ENCFF940ZEI	ENCFF778YPM, ENCFF807MUK	ENCSR364MFN	ENCSR507UDH	2016-06-14	2016-05-20	0.0	H3K27ac-human	released	released	ENCFF854ZNK	ENCFF494JNN	hg19	https://www.encodeproject.org/files/ENCFF854ZNK/@@download/ENCFF854ZNK.bam	https://www.encodeproject.org/files/ENCFF494JNN/@@download/ENCFF494JNN.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	10779348616	2699163088	2_7	2_1	0.0	0.0	a50c571612f7164acc1cf95d6c4e4bad	da9610f882ec7d3b1bb50e43a9c4328c	s3://encode-public/2018/01/23/02cf54cc-f324-4859-ab8e-b568e801650d/ENCFF854ZNK.bam	s3://encode-public/2016/10/12/3090d1ec-3984-4aae-8dd7-38691bdaf19a/ENCFF494JNN.bam	ENCFF494JNN
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	extremely low read depth	0.0	0.0	0.0	insufficient read depth	low spot score, mixed read lengths	moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0002067	EFO:0002067	K562	0.0	0.0	0.0	cell line	cell line	0.0	0.0	ENCFF000SWB, ENCFF549HLL	ENCFF000BXG, ENCFF807MUK	ENCSR000EKQ	ENCSR000AKP	2012-08-28	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF179GFN	ENCFF992MUX	hg19	https://www.encodeproject.org/files/ENCFF179GFN/@@download/ENCFF179GFN.bam	https://www.encodeproject.org/files/ENCFF992MUX/@@download/ENCFF992MUX.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7801536361	624072290	1_1	2_1	0.0	0.0	6955ec7df860155f68f8ee18e438e406	ab7948c603fb30ece69d2b75df4b72df	s3://encode-public/2017/10/06/0fdd55c3-bc22-4bce-bd5a-59b2a92bbeca/ENCFF179GFN.bam	s3://encode-public/2017/04/04/4b954bab-e58d-496f-b99c-bbb86aa9e4b2/ENCFF992MUX.bam	ENCFF992MUX
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	experiment not submitted to GEO	0.0	0.0	0.0	low spot score	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0007610	UBERON:0007610	tibial artery	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF234JON, ENCFF375DAE, ENCFF452SYM, ENCFF530SOD, ENCFF549HLL, ENCFF591BAX, ENCFF741TTG	ENCFF092JSR, ENCFF420HES, ENCFF437TKR, ENCFF519ETK, ENCFF807MUK	ENCSR080ISA	ENCSR891BTJ	2017-10-01	2019-09-11	0.0	H3K27ac-human	released	released	ENCFF500UBP	ENCFF114QOS	hg19	https://www.encodeproject.org/files/ENCFF500UBP/@@download/ENCFF500UBP.bam	https://www.encodeproject.org/files/ENCFF114QOS/@@download/ENCFF114QOS.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7168761392	1925445298	1_1	1_1, 1_2	0.0	0.0	8b51e53a3458b1219f4cc845b8e39aa6	a2a05a7f924fc227e7a84aabb67e84e1	s3://encode-public/2017/09/13/9dbc5da5-f28f-40d8-9e15-1d2b64388549/ENCFF500UBP.bam	s3://encode-public/2019/08/11/e5fd0753-e914-4cdb-a88f-44a92766b963/ENCFF114QOS.bam	ENCFF114QOS
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	low spot score	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0006631	UBERON:0006631	right atrium auricular region	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF053VZG, ENCFF079GRE, ENCFF228WQY, ENCFF544GTL, ENCFF549HLL	ENCFF512TUH, ENCFF559UXT, ENCFF580EXF, ENCFF807MUK, ENCFF968SEM	ENCSR278SKG	ENCSR668EVA	2017-10-01	2019-09-11	0.0	H3K27ac-human	released	released	ENCFF939WIN	ENCFF920WGT	hg19	https://www.encodeproject.org/files/ENCFF939WIN/@@download/ENCFF939WIN.bam	https://www.encodeproject.org/files/ENCFF920WGT/@@download/ENCFF920WGT.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	11224903333	1837361268	1_1	1_1	0.0	0.0	16eff218d034edafef74f69235e03856	6258991399f1b463ac97c047c319e950	s3://encode-public/2017/09/19/72082771-4f15-44af-8295-60aca9549404/ENCFF939WIN.bam	s3://encode-public/2019/06/12/fcad8e48-83d7-4509-a08d-3f1da49b4b83/ENCFF920WGT.bam	ENCFF920WGT
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	experiment not submitted to GEO	mismatched status	0.0	0.0	low spot score	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0000945	UBERON:0000945	stomach	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF332OMT, ENCFF479BUR, ENCFF549HLL, ENCFF575AXQ, ENCFF629TYB, ENCFF843RMW, ENCFF949MJX	ENCFF003HGP, ENCFF260PYL, ENCFF718MGE, ENCFF753SNQ, ENCFF807MUK	ENCSR641ZPF	ENCSR944KAZ	2017-10-02	2019-09-12	0.0	H3K27ac-human	released	released	ENCFF035CRF	ENCFF702ZFB	hg19	https://www.encodeproject.org/files/ENCFF035CRF/@@download/ENCFF035CRF.bam	https://www.encodeproject.org/files/ENCFF702ZFB/@@download/ENCFF702ZFB.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	9023102766	2868023415	1_1	1_1, 1_2	0.0	0.0	395cebdd79fe9ba79f22fdda90b36a1f	2816061de525343a011d48670f4313ac	s3://encode-public/2017/09/14/0badd7f2-53b6-412a-93bf-dec8780c2aa6/ENCFF035CRF.bam	s3://encode-public/2019/08/07/58d6bf8d-f889-4b79-a075-973acba8f37a/ENCFF702ZFB.bam	ENCFF702ZFB
DNase-seq DNase-seq	ChIP-seq ChIP-seq	file validation error	0.0	mismatched file status	mismatched status	0.0	0.0	low read depth, low spot score	0.0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0000945	UBERON:0000945	stomach	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF002DUL, ENCFF002DUM, ENCFF002DUN, ENCFF002DUO, ENCFF002DUQ, ENCFF002DUS, ENCFF549HLL	ENCFF003HGP, ENCFF260PYL, ENCFF718MGE, ENCFF753SNQ, ENCFF807MUK	ENCSR095GWE	ENCSR944KAZ	2016-09-22	2019-09-12	0.0	H3K27ac-human	released	released	ENCFF982MNF	ENCFF702ZFB	hg19	https://www.encodeproject.org/files/ENCFF982MNF/@@download/ENCFF982MNF.bam	https://www.encodeproject.org/files/ENCFF702ZFB/@@download/ENCFF702ZFB.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	19935074192	2868023415	2_1	1_1, 1_2	0.0	0.0	47a01dcccd891457c2ed972820880738	2816061de525343a011d48670f4313ac	s3://encode-public/2017/09/10/9b871cc3-981f-420b-b0c0-04a0a18f136a/ENCFF982MNF.bam	s3://encode-public/2019/08/07/58d6bf8d-f889-4b79-a075-973acba8f37a/ENCFF702ZFB.bam	ENCFF702ZFB
DNase-seq DNase-seq	ChIP-seq ChIP-seq	file validation error	0.0	mismatched file status	0.0	0.0	control insufficient read depth, insufficient read depth	low read depth, low spot score	low read length	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000312	CL:0000312	keratinocyte	0.0	0.0	0.0	primary cell	primary cell	0.0	0.0	ENCFF001ECW, ENCFF549HLL	ENCFF000CNL, ENCFF807MUK	ENCSR000EPQ	ENCSR000ALK	2011-05-04	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF283NKN	ENCFF582URB	hg19	https://www.encodeproject.org/files/ENCFF283NKN/@@download/ENCFF283NKN.bam	https://www.encodeproject.org/files/ENCFF582URB/@@download/ENCFF582URB.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2216235406	498330399	1_1	2_1	0.0	0.0	67fe0b1182439bbad0723e87d81c1749	3ffab46a12bc708d6af52d1f23fecf20	s3://encode-public/2017/09/05/56250247-9a68-4f1c-a2a2-1ad23be873e8/ENCFF283NKN.bam	s3://encode-public/2017/04/04/87280359-ca19-4ea0-b6f3-71291d4122e7/ENCFF582URB.bam	ENCFF582URB
DNase-seq DNase-seq	ChIP-seq ChIP-seq	file validation error	0.0	mismatched file status	0.0	0.0	control insufficient read depth, insufficient read depth	low read depth, low spot score	low read length	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000312	CL:0000312	keratinocyte	0.0	0.0	0.0	primary cell	primary cell	0.0	0.0	ENCFF001ECX, ENCFF549HLL	ENCFF000CNL, ENCFF807MUK	ENCSR000EPQ	ENCSR000ALK	2011-05-04	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF612SRN	ENCFF582URB	hg19	https://www.encodeproject.org/files/ENCFF612SRN/@@download/ENCFF612SRN.bam	https://www.encodeproject.org/files/ENCFF582URB/@@download/ENCFF582URB.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2367400564	498330399	2_1	2_1	0.0	0.0	4657182b692abc1235f64da362ab7153	3ffab46a12bc708d6af52d1f23fecf20	s3://encode-public/2017/09/05/36876c1b-732e-48e1-a71d-f9341a5e9ee5/ENCFF612SRN.bam	s3://encode-public/2017/04/04/87280359-ca19-4ea0-b6f3-71291d4122e7/ENCFF582URB.bam	ENCFF582URB
DNase-seq DNase-seq	ChIP-seq ChIP-seq	inconsistent ontology term	inconsistent ontology term	0.0	0.0	0.0	0.0	low spot score	low read length, inconsistent platforms	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000047	CL:0000047	neural stem progenitor cell	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	0.0	0.0	ENCFF084HAF, ENCFF098KRD, ENCFF549HLL, ENCFF827HIG, ENCFF942ADO	ENCFF314JAW, ENCFF807MUK	ENCSR278FVO	ENCSR799SRL	2013-07-31	2013-07-31	0.0	H3K27ac-human	released	released	ENCFF541CGC	ENCFF508CXY	hg19	https://www.encodeproject.org/files/ENCFF541CGC/@@download/ENCFF541CGC.bam	https://www.encodeproject.org/files/ENCFF508CXY/@@download/ENCFF508CXY.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	2224142252	2302835893	1_4	1_1	0.0	0.0	fe04ae76a72945f68b586e9a9b799f30	d5b4c3d517addc64f674d23a59b7a1fa	s3://encode-public/2017/10/03/8aceb7bf-e58e-4329-ae6c-606a53d5357d/ENCFF541CGC.bam	s3://encode-public/2016/12/19/59dd9686-e352-4440-9559-71a58a823bde/ENCFF508CXY.bam	ENCFF508CXY
