File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF712IRY	bam	bam		alignments	hg19	ENCSR758OEC	ChIP-seq ChIP-seq	EFO:0005724	MM.1S	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-06	ENCODE				1	1_1		36				ENCFF630ZFU, ENCFF807MUK	1099905463	ENCODE Processing Pipeline	e057c2db0be583db66085f5137c6820f		https://www.encodeproject.org/files/ENCFF712IRY/@@download/ENCFF712IRY.bam				released	s3://encode-public/2015/12/17/a9dd9a1b-2692-4496-93df-2ccb07762526/ENCFF712IRY.bam	low read length, mild to moderate bottlenecking			
ENCFF014EKJ	bam	bam		alignments	hg19	ENCSR758OEC	ChIP-seq ChIP-seq	EFO:0005724	MM.1S	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-06	ENCODE				2	2_1		36				ENCFF783XFU, ENCFF807MUK	2135077038	ENCODE Processing Pipeline	8f7e8fd9f53e3afa8bf887977b201b4d		https://www.encodeproject.org/files/ENCFF014EKJ/@@download/ENCFF014EKJ.bam				released	s3://encode-public/2015/12/17/98753f94-55e0-49d6-aefd-e242fe231b94/ENCFF014EKJ.bam	low read length, mild to moderate bottlenecking			
ENCFF154ECB	bam	bam		unfiltered alignments	hg19	ENCSR758OEC	ChIP-seq ChIP-seq	EFO:0005724	MM.1S	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-06	ENCODE				1	1_1		36				ENCFF630ZFU, ENCFF807MUK	1504264508	ENCODE Processing Pipeline	1dcadc3d3b3c11e04a6f4f0bc99ba97e		https://www.encodeproject.org/files/ENCFF154ECB/@@download/ENCFF154ECB.bam				released	s3://encode-public/2016/09/22/d16cfba1-db1f-4c16-851e-41cbb7bd7fb5/ENCFF154ECB.bam	low read length, mild to moderate bottlenecking			
ENCFF398YRD	bam	bam		unfiltered alignments	hg19	ENCSR758OEC	ChIP-seq ChIP-seq	EFO:0005724	MM.1S	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-06	ENCODE				2	2_1		36				ENCFF783XFU, ENCFF807MUK	3327564630	ENCODE Processing Pipeline	1ab5983d823fbae15e232b958c69d934		https://www.encodeproject.org/files/ENCFF398YRD/@@download/ENCFF398YRD.bam				released	s3://encode-public/2016/09/27/673468ad-e060-44e3-bd0d-6b8acdf1b29a/ENCFF398YRD.bam	low read length, mild to moderate bottlenecking			
ENCFF234AOF	bam	bam		unfiltered alignments	hg19	ENCSR660IQS	ChIP-seq ChIP-seq	EFO:0005719	Karpas-422	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-11	ENCODE				1	1_1		37				ENCFF002BES, ENCFF807MUK	1933484473	ENCODE Processing Pipeline	2d094271f5ca6ccdd879217f935b9b69		https://www.encodeproject.org/files/ENCFF234AOF/@@download/ENCFF234AOF.bam				released	s3://encode-public/2016/11/15/6bace480-52c3-4153-acee-d66a7ad35dfa/ENCFF234AOF.bam	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking			
ENCFF119ZDZ	bam	bam		alignments	hg19	ENCSR660IQS	ChIP-seq ChIP-seq	EFO:0005719	Karpas-422	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-11	ENCODE				1	1_1		37				ENCFF002BES, ENCFF807MUK	1217110716	ENCODE Processing Pipeline	12d53cf93a660bbcee5660ba7c61859c		https://www.encodeproject.org/files/ENCFF119ZDZ/@@download/ENCFF119ZDZ.bam				released	s3://encode-public/2016/11/15/299b3c0f-a6ce-4e72-be4e-c20ddba0bf5c/ENCFF119ZDZ.bam	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking			
ENCFF623LHY	bam	bam		unfiltered alignments	hg19	ENCSR660IQS	ChIP-seq ChIP-seq	EFO:0005719	Karpas-422	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-11	ENCODE				2	2_1		36				ENCFF033EKA, ENCFF807MUK	1384558896	ENCODE Processing Pipeline	b9265cfb38fd005e1a1ac971886e8c43		https://www.encodeproject.org/files/ENCFF623LHY/@@download/ENCFF623LHY.bam				released	s3://encode-public/2016/11/15/5113e8e8-1d14-463f-b35c-2ca3f32a2bd6/ENCFF623LHY.bam	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking			
ENCFF671FAG	bam	bam		alignments	hg19	ENCSR660IQS	ChIP-seq ChIP-seq	EFO:0005719	Karpas-422	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-11	ENCODE				2	2_1		36				ENCFF033EKA, ENCFF807MUK	806612283	ENCODE Processing Pipeline	ef0c6a52b220ac1d5181b4efd5be7958		https://www.encodeproject.org/files/ENCFF671FAG/@@download/ENCFF671FAG.bam				released	s3://encode-public/2016/11/15/572123cb-98c6-4561-aa46-1caee5217a12/ENCFF671FAG.bam	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking			
ENCFF076IWU	bam	bam		alignments	hg19	ENCSR189JIH	ChIP-seq ChIP-seq	UBERON:0000995	uterus	tissue	Homo sapiens										H3K27ac-human	DNA						2018-12-11	ENCODE				1	1_1, 1_2		76				ENCFF250ZFX, ENCFF534QUU, ENCFF631MUY, ENCFF807MUK, ENCFF941GCO	2501506672	ENCODE Processing Pipeline	a5f10b34ba5f1effb4c8e628aa110e1b		https://www.encodeproject.org/files/ENCFF076IWU/@@download/ENCFF076IWU.bam				released	s3://encode-public/2018/11/27/a2f37720-3086-419d-8740-3cb9d2f9aa6e/ENCFF076IWU.bam				
ENCFF682UXD	bam	bam		unfiltered alignments	hg19	ENCSR189JIH	ChIP-seq ChIP-seq	UBERON:0000995	uterus	tissue	Homo sapiens										H3K27ac-human	DNA						2018-12-11	ENCODE				1	1_1, 1_2		76				ENCFF250ZFX, ENCFF534QUU, ENCFF631MUY, ENCFF807MUK, ENCFF941GCO	2926599444	ENCODE Processing Pipeline	abdff3143456f58d21ce6cdf60cd46d7		https://www.encodeproject.org/files/ENCFF682UXD/@@download/ENCFF682UXD.bam				released	s3://encode-public/2018/11/27/13dd7d75-ccf1-458a-ae0e-0968bd2d5337/ENCFF682UXD.bam				
