File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF272PIN	fastq	fastq		reads		ENCSR017RQC	ATAC-seq ATAC-seq	UBERON:0001211	Peyer's patch	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	1	ENCFF735IXH		3798722636	Michael Snyder, Stanford	f84d974dfda1131920cc4cbe00535b49		https://www.encodeproject.org/files/ENCFF272PIN/@@download/ENCFF272PIN.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/28/1e93bd48-64ee-4400-b9c4-800c6e94f60d/ENCFF272PIN.fastq.gz		experiment not submitted to GEO		
ENCFF735IXH	fastq	fastq		reads		ENCSR017RQC	ATAC-seq ATAC-seq	UBERON:0001211	Peyer's patch	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	2	ENCFF272PIN		4157015822	Michael Snyder, Stanford	b8703b2542cd234b9e976a93bca5f2d6		https://www.encodeproject.org/files/ENCFF735IXH/@@download/ENCFF735IXH.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/28/04cf9e72-59bb-4601-891a-0475b82e8175/ENCFF735IXH.fastq.gz		experiment not submitted to GEO		
ENCFF138HVL	fastq	fastq		reads		ENCSR062SVK	ATAC-seq ATAC-seq	UBERON:0006631	right atrium auricular region	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	2	ENCFF496OHD		2875682471	Michael Snyder, Stanford	c7811ebe0d0d1c14591e862fc26cf58b	SRA:SRR10388415	https://www.encodeproject.org/files/ENCFF138HVL/@@download/ENCFF138HVL.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/31/59cc243e-bed6-4962-8c81-e65d8b4de8b8/ENCFF138HVL.fastq.gz				
ENCFF496OHD	fastq	fastq		reads		ENCSR062SVK	ATAC-seq ATAC-seq	UBERON:0006631	right atrium auricular region	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	1	ENCFF138HVL		2667937784	Michael Snyder, Stanford	4eed3b6b5945264ec0061ddc7fc71ac4	SRA:SRR10388415	https://www.encodeproject.org/files/ENCFF496OHD/@@download/ENCFF496OHD.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/31/4008008f-59bc-4ffc-a602-303f39a647d1/ENCFF496OHD.fastq.gz				
ENCFF049NKX	fastq	fastq		reads		ENCSR584AXZ	ATAC-seq ATAC-seq	UBERON:0001621	coronary artery	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	1	ENCFF089IIY		2754227386	Michael Snyder, Stanford	d89e83d5b0cd7f22331d0d1545eb6472		https://www.encodeproject.org/files/ENCFF049NKX/@@download/ENCFF049NKX.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/02/07/c8911e03-5602-438b-a0b8-23ec99a6b40e/ENCFF049NKX.fastq.gz		experiment not submitted to GEO		
ENCFF089IIY	fastq	fastq		reads		ENCSR584AXZ	ATAC-seq ATAC-seq	UBERON:0001621	coronary artery	tissue	Homo sapiens											DNA						2017-06-21	ENCODE				1	1_1	100		paired-ended	2	ENCFF049NKX		3103212538	Michael Snyder, Stanford	98c020b0a3e2df82628aea2a2031c1bc		https://www.encodeproject.org/files/ENCFF089IIY/@@download/ENCFF089IIY.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/02/07/f40b5563-3c7e-4421-9ca9-5a2c1ce2d9f9/ENCFF089IIY.fastq.gz		experiment not submitted to GEO		
ENCFF022FVS	fastq	fastq		reads		ENCSR220ASC	ATAC-seq ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR				1	1_1	51		single-ended				2022679180	Tim Reddy, Duke	173ccbf65d340f9a5f49e3f7087ada99	SRA:SRR7140571	https://www.encodeproject.org/files/ENCFF022FVS/@@download/ENCFF022FVS.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/289c587c-9025-4048-86f2-5d0eca510b03/ENCFF022FVS.fastq.gz				
ENCFF793VAW	fastq	fastq		reads		ENCSR220ASC	ATAC-seq ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR				2	2_1	51		single-ended				2247410359	Tim Reddy, Duke	322ef1b1edcbf854e02c914b5ab081c6	SRA:SRR7140572	https://www.encodeproject.org/files/ENCFF793VAW/@@download/ENCFF793VAW.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/fcd337b8-eb68-41dd-be1f-c188446aa240/ENCFF793VAW.fastq.gz				
ENCFF224EAV	fastq	fastq		reads		ENCSR220ASC	ATAC-seq ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR				3	3_1	51		single-ended				2562556862	Tim Reddy, Duke	08a203d867a3360de92cf50d03837f20	SRA:SRR7140573	https://www.encodeproject.org/files/ENCFF224EAV/@@download/ENCFF224EAV.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/a5e6b7cd-be1e-474d-a5a2-1ca5388fea29/ENCFF224EAV.fastq.gz				
ENCFF954UEC	fastq	fastq		reads		ENCSR245LNF	ATAC-seq ATAC-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day								DNA						2017-10-10	GGR				1	1_1	76		paired-ended	1	ENCFF792EKC		2832373084	Michael Snyder, Stanford	4191f8c24aa9b63e562dd0604ce44014		https://www.encodeproject.org/files/ENCFF954UEC/@@download/ENCFF954UEC.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/27/947ffd23-c7d0-43a7-9611-1592aadfbf27/ENCFF954UEC.fastq.gz		experiment not submitted to GEO, mismatched file status		
