File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000SKI	fastq	fastq		reads		ENCSR000EJA	DNase-seq DNase-seq	EFO:0002782	H54	cell line	Homo sapiens											DNA						2011-04-19	ENCODE				1	1_1	20		single-ended				1111248112	Gregory Crawford, Duke	0a93c07c6d42cad208231f6fa6029711		https://www.encodeproject.org/files/ENCFF000SKI/@@download/ENCFF000SKI.fastq.gz		Illumina Genome Analyzer		released	s3://encode-public/2011/01/11/0ca25900-2411-4610-b23e-3ed61245f355/ENCFF000SKI.fastq.gz	mixed read lengths, low read depth		insufficient read length	
ENCFF000SKJ	fastq	fastq		reads		ENCSR000EJA	DNase-seq DNase-seq	EFO:0002782	H54	cell line	Homo sapiens											DNA						2011-04-19	ENCODE				1	1_2	36		single-ended				1516126400	Gregory Crawford, Duke	d6d98334a2669152858d55849e613956		https://www.encodeproject.org/files/ENCFF000SKJ/@@download/ENCFF000SKJ.fastq.gz		Illumina Genome Analyzer		released	s3://encode-public/2011/01/11/c6923b49-f0f0-4aad-80ce-bcf8e7bd185e/ENCFF000SKJ.fastq.gz	mixed read lengths, low read depth		insufficient read length	
ENCFF000SQO	fastq	fastq		reads		ENCSR000EJU	DNase-seq DNase-seq	CL:0000182	hepatocyte	primary cell	Homo sapiens											DNA						2011-04-19	ENCODE				1	1_1	20		single-ended				1980482319	Gregory Crawford, Duke	08f7c20ead8cbbee2c3a17c5e0dd2ffe		https://www.encodeproject.org/files/ENCFF000SQO/@@download/ENCFF000SQO.fastq.gz		Illumina Genome Analyzer		released	s3://encode-public/2011/01/11/3f28c2c5-b2c7-45aa-a86c-133e109267f9/ENCFF000SQO.fastq.gz	low spot score, mixed read lengths		insufficient read length	
ENCFF000SQQ	fastq	fastq		reads		ENCSR000EJU	DNase-seq DNase-seq	CL:0000182	hepatocyte	primary cell	Homo sapiens											DNA						2011-04-19	ENCODE				1	1_2	36		single-ended				1466060699	Gregory Crawford, Duke	4dd108376aea3c88ec3a5259f78179a9		https://www.encodeproject.org/files/ENCFF000SQQ/@@download/ENCFF000SQQ.fastq.gz		Illumina Genome Analyzer		released	s3://encode-public/2011/01/11/ad4708bf-c6c1-41c7-a802-fe69c8bacca6/ENCFF000SQQ.fastq.gz	low spot score, mixed read lengths		insufficient read length	
ENCFF000SWA	fastq	fastq		reads		ENCSR000EKQ	DNase-seq DNase-seq	EFO:0002067	K562	cell line	Homo sapiens											DNA						2012-08-28	ENCODE				1	1_2	50		single-ended				7061301286	Gregory Crawford, Duke	780431663723e65b8a5c46cd740da289		https://www.encodeproject.org/files/ENCFF000SWA/@@download/ENCFF000SWA.fastq.gz		Illumina Genome Analyzer		released	s3://encode-public/2011/01/11/69585bcd-ae47-4079-b545-534a315b1f0b/ENCFF000SWA.fastq.gz	low spot score, mixed read lengths			
ENCFF000SWB	fastq	fastq		reads		ENCSR000EKQ	DNase-seq DNase-seq	EFO:0002067	K562	cell line	Homo sapiens											DNA						2012-08-28	ENCODE				1	1_1	100		single-ended				9312318895	Gregory Crawford, Duke	24b9c6fc6400d5ae36f074681b5ea72d		https://www.encodeproject.org/files/ENCFF000SWB/@@download/ENCFF000SWB.fastq.gz		Illumina Genome Analyzer		released	s3://encode-public/2011/01/11/cb6ab584-b048-4da8-8c4b-e075b9811fe7/ENCFF000SWB.fastq.gz	low spot score, mixed read lengths			
ENCFF000SWD	fastq	fastq		reads		ENCSR000EKQ	DNase-seq DNase-seq	EFO:0002067	K562	cell line	Homo sapiens											DNA						2012-08-28	ENCODE				1	1_3	50		single-ended				6647586162	Gregory Crawford, Duke	a40b8244d9fda2a62a60263e2e3d8d37		https://www.encodeproject.org/files/ENCFF000SWD/@@download/ENCFF000SWD.fastq.gz		Illumina Genome Analyzer		released	s3://encode-public/2011/01/11/7cda4e9a-0608-4ffa-acc9-0f268f2adf24/ENCFF000SWD.fastq.gz	low spot score, mixed read lengths			
ENCFF001DER	fastq	fastq		reads		ENCSR000ENS	DNase-seq DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	Homo sapiens											DNA						2011-05-04	ENCODE				2	2_1	36		single-ended				1281012999	John Stamatoyannopoulos, UW	03e47b700724fef7b07af0135f9f5fbe		https://www.encodeproject.org/files/ENCFF001DER/@@download/ENCFF001DER.fastq.gz		Illumina Genome Analyzer IIx		archived	s3://encode-public/2011/01/11/3749b7f5-e639-4e46-9bcd-c56b43b90555/ENCFF001DER.fastq.gz	low read depth	sequencing runs labeled as technical replicates, mismatched file status		file validation error
ENCFF001DEQ	fastq	fastq		reads		ENCSR000ENS	DNase-seq DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	Homo sapiens											DNA						2011-05-04	ENCODE				1	1_1	36		single-ended				1549715570	John Stamatoyannopoulos, UW	8b07d86f1c5259b81ccb447802caf3ae		https://www.encodeproject.org/files/ENCFF001DEQ/@@download/ENCFF001DEQ.fastq.gz		Illumina Genome Analyzer IIx		archived	s3://encode-public/2011/01/11/efebd7e6-0422-4313-8b2d-c2fece283308/ENCFF001DEQ.fastq.gz	low read depth	sequencing runs labeled as technical replicates, mismatched file status		file validation error
ENCFF555YVV	fastq	fastq		reads		ENCSR000ENS	DNase-seq DNase-seq	CL:0002552	fibroblast of gingiva	primary cell	Homo sapiens											DNA						2011-05-04	ENCODE				1	1_1	36		single-ended				508467075	John Stamatoyannopoulos, UW	d062a56d4492182cc47565142451291b		https://www.encodeproject.org/files/ENCFF555YVV/@@download/ENCFF555YVV.fastq.gz		Illumina Genome Analyzer II		released	s3://encode-public/2016/10/30/fe33d701-92c8-400b-b241-0e5d66553583/ENCFF555YVV.fastq.gz	low read depth	sequencing runs labeled as technical replicates, mismatched file status		file validation error
