File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF558RWT	fastq	fastq		reads		ENCSR115YPI	DNase-seq DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	interleukin-3, erythropoietin, kit ligand, hydrocortisone succinate		20 day								DNA						2018-05-09	ENCODE				1	1_1	36		paired-ended	2	ENCFF159EMB		1214766427	John Stamatoyannopoulos, UW	9924f7d1a3ec4ab2b091fcb3bb809d2a		https://www.encodeproject.org/files/ENCFF558RWT/@@download/ENCFF558RWT.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/15/7ecd1973-f8ef-4389-bcdc-314898920886/ENCFF558RWT.fastq.gz		experiment not submitted to GEO	unreplicated experiment	extremely low spot score
ENCFF294MOK	fastq	fastq		reads		ENCSR115YPI	DNase-seq DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	interleukin-3, erythropoietin, kit ligand, hydrocortisone succinate		20 day								DNA						2018-05-09	ENCODE				1	1_1	36		paired-ended	1	ENCFF257NJR		427935973	John Stamatoyannopoulos, UW	746b2b71f8d802add5d6ef29b2a271ca		https://www.encodeproject.org/files/ENCFF294MOK/@@download/ENCFF294MOK.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/11/15/342a21ef-f176-4c88-a0e7-040d2fc59150/ENCFF294MOK.fastq.gz		experiment not submitted to GEO	unreplicated experiment	extremely low spot score
ENCFF257NJR	fastq	fastq		reads		ENCSR115YPI	DNase-seq DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	interleukin-3, erythropoietin, kit ligand, hydrocortisone succinate		20 day								DNA						2018-05-09	ENCODE				1	1_1	36		paired-ended	2	ENCFF294MOK		432216378	John Stamatoyannopoulos, UW	ce27cc6818fba7937a087434e9b17fc1		https://www.encodeproject.org/files/ENCFF257NJR/@@download/ENCFF257NJR.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/11/15/ee674b8a-b0c6-4275-b3b8-7242ad1e9269/ENCFF257NJR.fastq.gz		experiment not submitted to GEO	unreplicated experiment	extremely low spot score
ENCFF159EMB	fastq	fastq		reads		ENCSR115YPI	DNase-seq DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	interleukin-3, erythropoietin, kit ligand, hydrocortisone succinate		20 day								DNA						2018-05-09	ENCODE				1	1_1	36		paired-ended	1	ENCFF558RWT		1174237826	John Stamatoyannopoulos, UW	ff35f3afe2dd2ad712d5874163ef9f3f		https://www.encodeproject.org/files/ENCFF159EMB/@@download/ENCFF159EMB.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/15/ad9467f1-a1e5-4ae0-88e0-69e3edc487e7/ENCFF159EMB.fastq.gz		experiment not submitted to GEO	unreplicated experiment	extremely low spot score
ENCFF661KTZ	fastq	fastq		reads		ENCSR115YPI	DNase-seq DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	interleukin-3, erythropoietin, kit ligand, hydrocortisone succinate		20 day								DNA						2018-05-09	ENCODE				1	1_1	36		paired-ended	1	ENCFF269EVF		4624109519	John Stamatoyannopoulos, UW	cc356b4720dd99a1b19773e30382f56d		https://www.encodeproject.org/files/ENCFF661KTZ/@@download/ENCFF661KTZ.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/15/f4c22a51-777b-484f-90e4-bb6d721bc84c/ENCFF661KTZ.fastq.gz		experiment not submitted to GEO	unreplicated experiment	extremely low spot score
ENCFF269EVF	fastq	fastq		reads		ENCSR115YPI	DNase-seq DNase-seq	CL:0000837	hematopoietic multipotent progenitor cell	in vitro differentiated cells	Homo sapiens	interleukin-3, erythropoietin, kit ligand, hydrocortisone succinate		20 day								DNA						2018-05-09	ENCODE				1	1_1	36		paired-ended	2	ENCFF661KTZ		4798889511	John Stamatoyannopoulos, UW	bbd5eb0e43bcfdc84d47c212cd9c2d1c		https://www.encodeproject.org/files/ENCFF269EVF/@@download/ENCFF269EVF.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/15/eca6c0f4-793e-42a6-9219-9407b688bdea/ENCFF269EVF.fastq.gz		experiment not submitted to GEO	unreplicated experiment	extremely low spot score
ENCFF077DYY	fastq	fastq		reads		ENCSR783OCW	DNase-seq DNase-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				1	1_1	36		paired-ended	1	ENCFF586YGB		2684326316	John Stamatoyannopoulos, UW	4bdd402adc5ab6892cad5208b06a988b	SRA:SRR10388700	https://www.encodeproject.org/files/ENCFF077DYY/@@download/ENCFF077DYY.fastq.gz		Illumina NextSeq 500		released	s3://encode-public/2017/01/30/1e913f3b-d5e0-4f82-bcd6-a9f484e56686/ENCFF077DYY.fastq.gz	low spot score			
ENCFF369GXC	fastq	fastq		reads		ENCSR783OCW	DNase-seq DNase-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				1	1_1	36		paired-ended	1	ENCFF899WML		938830139	John Stamatoyannopoulos, UW	1cba4c6b2d01784935c2b0a8e107ada1	SRA:SRR10388701	https://www.encodeproject.org/files/ENCFF369GXC/@@download/ENCFF369GXC.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/01/30/8259f970-d5a6-4e0a-ab97-5d4c8fccd9b6/ENCFF369GXC.fastq.gz	low spot score			
ENCFF429JTA	fastq	fastq		reads		ENCSR783OCW	DNase-seq DNase-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				1	1_1	36		paired-ended	1	ENCFF112YGS		300972523	John Stamatoyannopoulos, UW	7bb1f11677a43f775ba5d6c8e262c6ba	SRA:SRR10388702	https://www.encodeproject.org/files/ENCFF429JTA/@@download/ENCFF429JTA.fastq.gz		Illumina NextSeq 500		released	s3://encode-public/2017/01/30/d08ddf65-5686-47e7-8205-a96ab13b03bc/ENCFF429JTA.fastq.gz	low spot score			
ENCFF586YGB	fastq	fastq		reads		ENCSR783OCW	DNase-seq DNase-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				1	1_1	36		paired-ended	2	ENCFF077DYY		2735796537	John Stamatoyannopoulos, UW	7919f8c8f73b7097676c706611485574	SRA:SRR10388700	https://www.encodeproject.org/files/ENCFF586YGB/@@download/ENCFF586YGB.fastq.gz		Illumina NextSeq 500		released	s3://encode-public/2017/01/30/042fbfdb-950c-45ef-ac0f-720769d07a8d/ENCFF586YGB.fastq.gz	low spot score			
