File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF755GNZ	fastq	fastq		reads		ENCSR267YXV	ChIP-seq ChIP-seq	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K27ac-human	DNA						2016-11-16	ENCODE				2	2_1	76		single-ended				5621238640	Bradley Bernstein, Broad	24285e9ebc7949bcdf32eab155fc4bb9	SRA:SRR5331504	https://www.encodeproject.org/files/ENCFF755GNZ/@@download/ENCFF755GNZ.fastq.gz		Illumina HiSeq 2500	/files/ENCFF036GMX/, /files/ENCFF184GOD/, /files/ENCFF587HMQ/, /files/ENCFF787SDP/	released	s3://encode-public/2016/11/04/0f2d42ad-d071-4a7a-9c7c-b0cdfe61bff0/ENCFF755GNZ.fastq.gz	moderate library complexity, mild to moderate bottlenecking			
ENCFF554IFD	fastq	fastq		reads		ENCSR267YXV	ChIP-seq ChIP-seq	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K27ac-human	DNA						2016-11-16	ENCODE				1	1_2	76		single-ended				722662646	Bradley Bernstein, Broad	848657192a0fe2a4382d9224f0ed267f	SRA:SRR5331500	https://www.encodeproject.org/files/ENCFF554IFD/@@download/ENCFF554IFD.fastq.gz		Illumina HiSeq 2500	/files/ENCFF170LRD/, /files/ENCFF410DXF/, /files/ENCFF485UYV/, /files/ENCFF784DBC/	released	s3://encode-public/2016/11/04/da357d95-2b31-4b99-a77b-274131fb13aa/ENCFF554IFD.fastq.gz	moderate library complexity, mild to moderate bottlenecking			
ENCFF626POI	fastq	fastq		reads		ENCSR267YXV	ChIP-seq ChIP-seq	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K27ac-human	DNA						2016-11-16	ENCODE				1	1_2	76		single-ended				800830100	Bradley Bernstein, Broad	db70309263ddb8cc74dc1cb1fc154450	SRA:SRR5331501	https://www.encodeproject.org/files/ENCFF626POI/@@download/ENCFF626POI.fastq.gz		Illumina HiSeq 2500	/files/ENCFF170LRD/, /files/ENCFF410DXF/, /files/ENCFF485UYV/, /files/ENCFF784DBC/	released	s3://encode-public/2016/11/04/e5337e8a-dc3b-4dd8-b822-a07653b40896/ENCFF626POI.fastq.gz	moderate library complexity, mild to moderate bottlenecking			
ENCFF177OIN	fastq	fastq		reads		ENCSR267YXV	ChIP-seq ChIP-seq	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K27ac-human	DNA						2016-11-16	ENCODE				1	1_2	76		single-ended				590772560	Bradley Bernstein, Broad	db6019c183f08796270e35af18901e3a	SRA:SRR5331502	https://www.encodeproject.org/files/ENCFF177OIN/@@download/ENCFF177OIN.fastq.gz		Illumina HiSeq 2500	/files/ENCFF170LRD/, /files/ENCFF410DXF/, /files/ENCFF485UYV/, /files/ENCFF784DBC/	released	s3://encode-public/2016/11/04/d6560f81-d163-4164-b8ed-af666b733344/ENCFF177OIN.fastq.gz	moderate library complexity, mild to moderate bottlenecking			
ENCFF874HQL	fastq	fastq		reads		ENCSR267YXV	ChIP-seq ChIP-seq	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K27ac-human	DNA						2016-11-16	ENCODE				1	1_2	76		single-ended				581060766	Bradley Bernstein, Broad	ccb7cdca01ef24ff7c425abd618ef1fb	SRA:SRR5331503	https://www.encodeproject.org/files/ENCFF874HQL/@@download/ENCFF874HQL.fastq.gz		Illumina HiSeq 2500	/files/ENCFF170LRD/, /files/ENCFF410DXF/, /files/ENCFF485UYV/, /files/ENCFF784DBC/	released	s3://encode-public/2016/11/04/68354809-b1ad-49eb-ad41-5d03eeccbebf/ENCFF874HQL.fastq.gz	moderate library complexity, mild to moderate bottlenecking			
ENCFF796DRE	fastq	fastq		reads		ENCSR267YXV	ChIP-seq ChIP-seq	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K27ac-human	DNA						2016-11-16	ENCODE				2	2_1	76		single-ended				5434744262	Bradley Bernstein, Broad	ff4f08c8bcf3191f7e537b197671d3c2	SRA:SRR5331505	https://www.encodeproject.org/files/ENCFF796DRE/@@download/ENCFF796DRE.fastq.gz		Illumina HiSeq 2500	/files/ENCFF036GMX/, /files/ENCFF184GOD/, /files/ENCFF587HMQ/, /files/ENCFF787SDP/	released	s3://encode-public/2016/11/04/7a5407e9-987d-4aa9-af99-34bb62995c13/ENCFF796DRE.fastq.gz	moderate library complexity, mild to moderate bottlenecking			
ENCFF355TKV	fastq	fastq		reads		ENCSR267YXV	ChIP-seq ChIP-seq	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K27ac-human	DNA						2016-11-16	ENCODE				1	1_1	76		single-ended				320913378	Bradley Bernstein, Broad	0269a919ebdb6b25addecdc87953c0bb	SRA:SRR5331498	https://www.encodeproject.org/files/ENCFF355TKV/@@download/ENCFF355TKV.fastq.gz		Illumina HiSeq 2500	/files/ENCFF170LRD/, /files/ENCFF410DXF/, /files/ENCFF485UYV/, /files/ENCFF784DBC/	released	s3://encode-public/2016/11/04/46779d94-fd39-4179-88cb-1cdf4688b5da/ENCFF355TKV.fastq.gz	moderate library complexity, mild to moderate bottlenecking			
ENCFF135DHL	fastq	fastq		reads		ENCSR267YXV	ChIP-seq ChIP-seq	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K27ac-human	DNA						2016-11-16	ENCODE				1	1_1	76		single-ended				321154083	Bradley Bernstein, Broad	870ef296de40edb22b8657cd3784e65d	SRA:SRR5331499	https://www.encodeproject.org/files/ENCFF135DHL/@@download/ENCFF135DHL.fastq.gz		Illumina HiSeq 2500	/files/ENCFF170LRD/, /files/ENCFF410DXF/, /files/ENCFF485UYV/, /files/ENCFF784DBC/	released	s3://encode-public/2016/11/04/ca248256-3fef-4907-a1eb-d002b32de554/ENCFF135DHL.fastq.gz	moderate library complexity, mild to moderate bottlenecking			
ENCFF287OKD	fastq	fastq		reads		ENCSR426VHO	ChIP-seq ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE				1	1_1	76		single-ended				686604745	Bradley Bernstein, Broad	b0f9ff83c6c071f3ed4355bfc51c01a8	SRA:SRR10388862	https://www.encodeproject.org/files/ENCFF287OKD/@@download/ENCFF287OKD.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2019/04/27/e755b5f9-6794-46bc-8368-0737283f91ba/ENCFF287OKD.fastq.gz	missing controlled_by, mild to moderate bottlenecking, inconsistent platforms			
ENCFF206CBY	fastq	fastq		reads		ENCSR426VHO	ChIP-seq ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE				1	1_1	76		single-ended				669667763	Bradley Bernstein, Broad	771d0c3067539d8676496354e163e6ab	SRA:SRR10388863	https://www.encodeproject.org/files/ENCFF206CBY/@@download/ENCFF206CBY.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2019/04/27/a26221cb-c023-45fe-a4ec-7bebbeb87102/ENCFF206CBY.fastq.gz	missing controlled_by, mild to moderate bottlenecking, inconsistent platforms			
