hepatocyte	ENCFF338XIK_pooled.bam	ENCFF494JNN.bam
K562	ENCFF179GFN.bam	ENCFF992MUX_pooled.bam
coronary_artery	ENCFF016IVM.bam	ENCFF970OOE.bam
tibial_artery	ENCFF500UBP.bam	ENCFF114QOS_pooled.bam
right_atrium_auricular_region	ENCFF939WIN.bam	ENCFF920WGT_pooled.bam
stomach	ENCFF035CRF_pooled.bam	ENCFF702ZFB.bam
keratinocyte	ENCFF283NKN_pooled.bam	ENCFF582URB.bam
neural_stem_progenitor_cell	ENCFF541CGC.bam	ENCFF508CXY_pooled.bam
common_myeloid_progenitor_CD34-positive	ENCFF732ZRV_pooled.bam	ENCFF212VHM.bam
B_cell	ENCFF931KLL_pooled.bam	ENCFF297FHV.bam
adrenal_gland	ENCFF241DIK.bam	ENCFF727XGJ_pooled.bam
sigmoid_colon	ENCFF983AAB.bam	ENCFF472PUC.bam
small_intestine	ENCFF311UPR.bam	ENCFF028ZDP.bam
placenta	ENCFF551BNW_pooled.bam	ENCFF863QXI.bam
heart_left_ventricle	ENCFF825TUU_pooled.bam	ENCFF756KJB.bam
AG04450	ENCFF288CUH_pooled.bam	ENCFF214BDM.bam
lung	ENCFF623FUP.nodup_pooled.bam	ENCFF966VFW.bam
MCF-7	ENCFF782RWE_pooled.bam	ENCFF548MXM.bam
fibroblast_of_lung	ENCFF679CGM_pooled.bam	ENCFF716MSE.bam
IMR-90	ENCFF101YPZ.bam	ENCFF714GAO_pooled.bam
pancreas	ENCFF309OGZ.bam	ENCFF040FUP.bam
CD4-positive_alpha-beta_T_cell	ENCFF523BCS.bam	ENCFF711PGX.bam
CD14-positive_monocyte	ENCFF016NQV_pooled.bam	ENCFF045GRC.bam
ovary	ENCFF206UZB.bam	ENCFF300FGA.bam
PC-9	ENCFF035WVO_pooled.bam	ENCFF766DOH.nodup.bam
testis	ENCFF644KGK.bam	ENCFF858PZR.bam
endothelial_cell_of_umbilical_vein	ENCFF442LTW_pooled.bam	ENCFF958LRM.bam
GM23248	ENCFF068QFD_pooled.bam	ENCFF513ZFJ.nodup.bam
osteoblast	ENCFF525DSP.bam	ENCFF449YBK_pooled.bam
trophoblast_cell	ENCFF829GME_pooled.bam	ENCFF433JWY.bam
neural_progenitor_cell	ENCFF983LXZ_pooled.bam	ENCFF520KTX.bam
thymus	ENCFF427IJY.bam	ENCFF874QLK.bam
foreskin_keratinocyte	ENCFF620RNH.bam	ENCFF931ISK_pooled.bam
endodermal_cell	ENCFF106NQV_pooled.bam	ENCFF861XCF.bam
Karpas-422	ENCFF889ZST_pooled.bam	ENCFF234AOF.bam
astrocyte	ENCFF252GUK_pooled.bam	ENCFF852LKJ.bam
Peyer's_patch	ENCFF544LTF.bam	ENCFF015SAP.bam
fibroblast_of_dermis	ENCFF119FKG_pooled.bam	ENCFF955HWB.bam
heart_right_ventricle	ENCFF837KUH_pooled.bam	ENCFF251DKD.bam
GM12878	ENCFF057JYL_pooled.bam	ENCFF385RWJ.bam
H1	ENCFF274IMF.bam	ENCFF250OOT_pooled.bam
HeLa-S3	ENCFF915NVE_pooled.bam	ENCFF828IDF.bam
naive_thymus-derived_CD4-positive_alpha-beta_T_cell	ENCFF499ENJ.bam	ENCFF732JAK.bam
epithelial_cell_of_prostate	ENCFF291WWF_pooled.bam	ENCFF409DBJ.bam
mammary_epithelial_cell	ENCFF171WKG_pooled.bam	ENCFF722LQX.bam
skeletal_muscle_myoblast	ENCFF826DHO_pooled.bam	ENCFF986PYB.bam
SK-N-MC	ENCFF808UBJ_pooled.bam	ENCFF685RRO.bam
cardiac_muscle_cell	ENCFF055XGK_pooled.bam	ENCFF666DHM.bam
OCI-LY7	ENCFF037NAS_pooled.bam	ENCFF504PVS.bam
H9	ENCFF719SKA.bam	ENCFF267QYQ_pooled.bam
iPS_DF_19.11	ENCFF793HZT.bam	ENCFF493NLJ_pooled.bam
spleen	ENCFF055UYI.bam	ENCFF113EJC_pooled.bam
HepG2	ENCFF563QJH.bam	ENCFF928HIT_pooled.bam
tibial_nerve	ENCFF112BQF.bam	ENCFF055HXO.bam
esophagus_squamous_epithelium	ENCFF183WXG.bam	ENCFF243KXH.bam
upper_lobe_of_left_lung	ENCFF619WFG.bam	ENCFF285KSI.bam
HCT116	ENCFF936ECB_pooled.bam	ENCFF803XHI.bam
RWPE1	ENCFF295RHS.bam	ENCFF623XOH_pooled.bam
natural_killer_cell	ENCFF956HAU.bam	ENCFF109OGO.bam
CD8-positive_alpha-beta_T_cell	ENCFF207TVB.bam	ENCFF201JLG.bam
Panc1	ENCFF241WRU_pooled.bam	ENCFF136XNV.bam
myotube	ENCFF718SNV_pooled.bam	ENCFF776DRD.bam
mesendoderm	ENCFF940VYO.bam	ENCFF891DYF_pooled.bam
psoas_muscle	ENCFF618ECA_pooled.bam	ENCFF177XXX.bam
mesenchymal_stem_cell	ENCFF349TTK.bam	ENCFF256KPQ_pooled.bam
vagina	ENCFF446TOY.bam	ENCFF184VUP_pooled.bam
GM23338	ENCFF640ZAZ_pooled.bam	ENCFF321FQC.bam
transverse_colon	ENCFF598AKN.bam	ENCFF653INA_pooled.bam
bipolar_neuron	ENCFF628VHI_pooled.bam	ENCFF535NQP.bam
T-cell	ENCFF977MFB.bam	ENCFF984WED.bam
spinal_cord	ENCFF640BEI.bam	ENCFF701FTO.bam
large_intestine	ENCFF482DCE.bam	ENCFF744EGF.bam
muscle_of_trunk	ENCFF593JQF.bam	ENCFF252YHG.bam
muscle_of_leg	ENCFF704SJJ.bam	ENCFF733FEZ.bam
