alpha	precision	recall	pred.col
Inf	NA	0	ABC.Score
0.0513	0.5	0.00210970464135021	ABC.Score
0.0254	0.333333333333333	0.00210970464135021	ABC.Score
0.006	0.4	0.00421940928270042	ABC.Score
0.0055	0.333333333333333	0.00421940928270042	ABC.Score
0.005	0.285714285714286	0.00421940928270042	ABC.Score
0.0044	0.25	0.00421940928270042	ABC.Score
0.0043	0.222222222222222	0.00421940928270042	ABC.Score
0.004	0.2	0.00421940928270042	ABC.Score
0.0038	0.181818181818182	0.00421940928270042	ABC.Score
0.0037	0.25	0.00632911392405063	ABC.Score
0.0035	0.214285714285714	0.00632911392405063	ABC.Score
0.0031	0.2	0.00632911392405063	ABC.Score
0.0027	0.176470588235294	0.00632911392405063	ABC.Score
0.0023	0.222222222222222	0.00843881856540084	ABC.Score
0.0021	0.210526315789474	0.00843881856540084	ABC.Score
0.002	0.19047619047619	0.00843881856540084	ABC.Score
0.0019	0.181818181818182	0.00843881856540084	ABC.Score
0.0019	0.173913043478261	0.00843881856540084	ABC.Score
0.0018	0.16	0.00843881856540084	ABC.Score
0.0016	0.148148148148148	0.00843881856540084	ABC.Score
0.0015	0.142857142857143	0.00843881856540084	ABC.Score
0.0013	0.137931034482759	0.00843881856540084	ABC.Score
0.0012	0.129032258064516	0.00843881856540084	ABC.Score
0.001	0.114285714285714	0.00843881856540084	ABC.Score
9e-04	0.111111111111111	0.00843881856540084	ABC.Score
8e-04	0.105263157894737	0.00843881856540084	ABC.Score
8e-04	0.0975609756097561	0.00843881856540084	ABC.Score
7e-04	0.0833333333333333	0.00843881856540084	ABC.Score
6e-04	0.0754716981132075	0.00843881856540084	ABC.Score
5e-04	0.0714285714285714	0.00843881856540084	ABC.Score
4e-04	0.0701754385964912	0.00843881856540084	ABC.Score
2e-04	0.0645161290322581	0.00843881856540084	ABC.Score
1e-04	0.0588235294117647	0.00843881856540084	ABC.Score
0	0.0586633663366337	1	ABC.Score
Inf	NA	0	distance
-1238	0	0	distance
-32441	0	0	distance
-37279	0.333333333333333	0.25	distance
-37821	0.25	0.25	distance
-38786	0.4	0.5	distance
-39328	0.333333333333333	0.5	distance
-46772	0.428571428571429	0.75	distance
-90513.5	0.375	0.75	distance
-128781.5	0.333333333333333	0.75	distance
-148095.5	0.3	0.75	distance
-179688.5	0.272727272727273	0.75	distance
-196019.5	0.25	0.75	distance
-196224.5	0.230769230769231	0.75	distance
-200669	0.214285714285714	0.75	distance
-226927.5	0.2	0.75	distance
-227018.5	0.1875	0.75	distance
-237111	0.176470588235294	0.75	distance
-242136	0.166666666666667	0.75	distance
-261936	0.157894736842105	0.75	distance
-263443	0.15	0.75	distance
-314071.5	0.142857142857143	0.75	distance
-323015.5	0.136363636363636	0.75	distance
-346427	0.130434782608696	0.75	distance
-362903	0.125	0.75	distance
-388865.5	0.12	0.75	distance
-393147.5	0.115384615384615	0.75	distance
-449067.5	0.111111111111111	0.75	distance
-451619	0.107142857142857	0.75	distance
-452310.5	0.103448275862069	0.75	distance
-453126	0.1	0.75	distance
-473748	0.0967741935483871	0.75	distance
-475255	0.09375	0.75	distance
-483253.5	0.0909090909090909	0.75	distance
-489374.5	0.0882352941176471	0.75	distance
-489502.5	0.0857142857142857	0.75	distance
-499209	0.0833333333333333	0.75	distance
-500716	0.0810810810810811	0.75	distance
-503919.5	0.0789473684210526	0.75	distance
-505476.5	0.102564102564103	1	distance
-578067	0.1	1	distance
-579574	0.0975609756097561	1	distance
-587018	0.0952380952380952	1	distance
-587560	0.0930232558139535	1	distance
-592784	0.0909090909090909	1	distance
-594291	0.0888888888888889	1	distance
-626077	0.0869565217391304	1	distance
-627584	0.0851063829787234	1	distance
-657280	0.0833333333333333	1	distance
-658787	0.0816326530612245	1	distance
-692184.5	0.08	1	distance
-710847	0.0784313725490196	1	distance
-721708.5	0.0769230769230769	1	distance
-727780	0.0754716981132075	1	distance
-729287	0.0740740740740741	1	distance
-740896	0.0727272727272727	1	distance
-742403	0.0714285714285714	1	distance
-825508	0.0701754385964912	1	distance
-827015	0.0689655172413793	1	distance
-860824	0.0677966101694915	1	distance
-861950	0.0666666666666667	1	distance
-863457	0.0655737704918033	1	distance
-866975	0.0645161290322581	1	distance
-868482	0.0634920634920635	1	distance
-899103	0.0625	1	distance
-971266	0.0615384615384615	1	distance
-972773	0.0606060606060606	1	distance
-1140266	0.0597014925373134	1	distance
-1141773	0.0588235294117647	1	distance
Inf	NA	0	activity_base
5.4762	0.0476190476190476	0.00210970464135021	activity_base
4.6755	0.0526315789473684	0.00421940928270042	activity_base
1.1151	0.0588235294117647	0.00632911392405063	activity_base
0.5507	0.0588235294117647	0.00843881856540084	activity_base
0	0.0586633663366337	1	activity_base
