chr	start	end	H3K27ac.ENCFF384ZZM.chr22.bam.readCount	H3K27ac.ENCFF384ZZM.chr22.bam.RPM	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile	H3K27ac.RPM	H3K27ac.RPM.quantile	H3K27ac.RPKM	H3K27ac.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile	DHS.RPM	DHS.RPM.quantile	DHS.RPKM	DHS.RPKM.quantile	class	isPromoterElement	isGenicElement	isIntergenicElement	promoterSymbol	genicSymbol	name	DHS.RPMpromoter.quantile	normalized_dhs	DHS.RPMnonpromoter.quantile	H3K27ac.RPMpromoter.quantile	normalized_h3K27ac	H3K27ac.RPMnonpromoter.quantile	activity_base	activity_base_no_qnorm
chr22	16192759	16193259	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	0	0.000000	0.008559	0.008559	0.000000	0.008559	0	0.000000	0.009760	0.009760	0.000000	0.009760	0.000000	0.004505	0.000000	0.004505	promoter	True	False	False	DUXAP8	DUXAP8	promoter|chr22:16192759-16193259	0.026224	31.587990		0.092657	32.716076		32.147085	0.000000
chr22	16231039	16231539	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	0	0.000000	0.008559	0.008559	0.000000	0.008559	1	2.561889	0.026426	0.026426	5.123778	0.026727	1.280944	0.015465	2.561889	0.015465	promoter	True	False	False	LINC01297	LINC01297	promoter|chr22:16231039-16231539	0.090035	32.676057		0.092657	32.716076		32.696060	0.000000
chr22	16287687	16288187	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	1	2.302551	0.022973	0.022973	4.605101	0.023123	0	0.000000	0.009760	0.009760	0.000000	0.009760	1.151275	0.011261	2.302551	0.011261	promoter	True	False	False	POTEH	POTEH	promoter|chr22:16287687-16288187	0.065559	32.258716		0.092657	32.716076		32.486591	0.000000
chr22	16350185	16350685	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	9	20.722955	0.089790	0.089790	41.445910	0.091441	6	15.371333	0.113664	0.113664	30.742666	0.115465	18.047144	0.095796	36.094288	0.097447	intergenic	False	False	True			intergenic|chr22:16350185-16350685		13.831817	0.041153		12.835659	0.133793	13.324432	9.081836
chr22	16449554	16450054	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	0	0.000000	0.008559	0.008559	0.000000	0.008559	0	0.000000	0.009760	0.009760	0.000000	0.009760	0.000000	0.004505	0.000000	0.004505	promoter	True	False	False	OR11H1	OR11H1	promoter|chr22:16449554-16450054	0.026224	31.587990		0.092657	32.716076		32.147085	0.000000
chr22	16921667	16922167	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	14	32.235707	0.237237	0.237237	64.471415	0.243994	8	20.495111	0.157057	0.157057	40.990221	0.159760	26.365409	0.177928	52.730818	0.181532	intergenic	False	False	True			intergenic|chr22:16921667-16922167		14.737753	0.132886		12.835659	0.133793	13.753864	10.977075
chr22	16928185	16928685	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	7	16.117854	0.068168	0.068168	32.235707	0.069069	9	23.056999	0.182883	0.182883	46.113999	0.185285	19.587427	0.106607	39.174853	0.108108	intergenic	False	False	True			intergenic|chr22:16928185-16928685		13.941030	0.052212		12.835659	0.133793	13.376932	9.461458
chr22	17030716	17031216	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	14	32.235707	0.237237	0.237237	64.471415	0.243994	12	30.742666	0.270721	0.270721	61.485332	0.273874	31.489187	0.243093	62.978373	0.247297	intergenic	False	False	True			intergenic|chr22:17030716-17031216		15.482555	0.208303		11.887116	0.040065	13.566242	0.000000
chr22	17032169	17032669	3	13.710713	0.338438	0.338438	27.421426	0.342042	13.710713	0.338438	27.421426	0.342042	11	25.328056	0.143393	0.143393	50.656112	0.146847	8	20.495111	0.157057	0.157057	40.990221	0.159760	22.911583	0.142192	45.823167	0.144895	intergenic	False	False	True			intergenic|chr22:17032169-17032669		14.340287	0.092640		14.813471	0.329224	14.574959	17.723830
chr22	17038292	17038792	3	13.710713	0.338438	0.338438	27.421426	0.342042	13.710713	0.338438	27.421426	0.342042	8	18.420404	0.077327	0.077327	36.840809	0.078228	12	30.742666	0.270721	0.270721	61.485332	0.273874	24.581535	0.160661	49.163070	0.164565	intergenic	False	False	True			intergenic|chr22:17038292-17038792		14.542601	0.113125		14.813471	0.329224	14.677411	18.358387
chr22	17059688	17060188	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	11	25.328056	0.143393	0.143393	50.656112	0.146847	10	25.618888	0.211261	0.211261	51.237777	0.214114	25.473472	0.169069	50.946944	0.173123	intergenic	False	False	True			intergenic|chr22:17059688-17060188		14.637492	0.122734		12.835659	0.133793	13.707000	10.789802
chr22	17067043	17067543	1	4.570238	0.152853	0.152853	9.140475	0.154655	4.570238	0.152853	9.140475	0.154655	74	170.388740	0.781081	0.781081	340.777479	0.792042	64	163.960885	0.776276	0.776276	327.921770	0.785886	167.174812	0.782583	334.349625	0.790691	intergenic	False	False	True			intergenic|chr22:17067043-17067543		25.853819	0.812545		12.835659	0.133793	18.216773	27.641068
chr22	17068560	17069060	0	0.000000	0.048949	0.048949	0.000000	0.048949	0.000000	0.048949	0.000000	0.048949	13	29.933157	0.206306	0.206306	59.866314	0.212162	10	25.618888	0.211261	0.211261	51.237777	0.214114	27.776023	0.197447	55.552045	0.201351	intergenic	False	False	True			intergenic|chr22:17068560-17069060		14.952600	0.154641		11.887116	0.040065	13.332040	0.000000
